,name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,foot,Best overall,Best position,Growth,Joined,Loan date end,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Composure,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,Weak foot,Skill moves,Attacking work rate,Defensive work rate,International reputation,Body type,Real face,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace,Physical / Positioning,Traits,PlayStyles,PlayStyles +,Number of playstyles,
1837,Álex Berenguer LM RM,27,80,80,"Athletic Club
2020 ~ 2024",225201,"175cm / 5'9""",73kg / 161lbs,Right,80,LM,0,"Oct 2, 2020",N/A,€22.5M,€33K,€47.3M,358,76,77,58,77,70,384,82,76,75,70,81,415,84,79,87,77,88,354,76,71,80,55,72,365,76,65,77,78,69,83,194,65,65,64,57,14,16,8,6,13,2127,444,4,3,High,Medium,1,Normal (170-185),Yes,81,75,76,82,64,66,,Finesse Shot Rapid Trivela,,3,
1838,D. Solanke ST,25,75,78,"AFC Bournemouth
2019 ~ 2027",225539,"187cm / 6'2""",80kg / 176lbs,Right,77,ST,3,"Jan 4, 2019",N/A,€7.5M,€44K,€14.8M,353,54,77,74,73,75,310,75,56,47,59,73,350,66,79,64,74,67,395,76,82,86,80,71,313,71,22,77,71,72,77,68,21,25,22,57,9,15,14,9,10,1846,394,3,3,High,Medium,1,Lean (185+),Yes,73,75,65,73,28,80,,Flair Acrobatic,,2,
1839,O. Burke ST RM,26,69,72,"Birmingham City
Jun 30, 2024 On loan",225632,"188cm / 6'2""",82kg / 181lbs,Right,71,ST,3,"Jul 1, 2022","Jun 30, 2024",€1.8M,€12K,€0,305,63,68,54,66,54,313,72,63,62,57,59,379,84,90,68,68,69,362,76,80,68,79,59,274,58,36,69,60,51,63,99,34,38,27,53,13,11,7,7,15,1785,392,3,3,Medium,Medium,1,Normal (185+),Yes,87,66,63,67,37,72,,Rapid Quick Step,,2,
1840,K. Grant ST LM,25,71,74,"Cardiff City
Jun 30, 2024 On loan",225668,"182cm / 6'0""",70kg / 154lbs,Right,73,ST,3,"Oct 15, 2020","Jun 30, 2024",€2.5M,€23K,€0,328,66,71,62,66,63,312,72,63,63,43,71,378,85,87,73,70,63,372,74,81,76,71,70,278,35,29,72,67,75,63,87,40,23,24,63,11,10,13,15,14,1818,389,3,3,High,Medium,1,Normal (170-185),Yes,86,71,62,71,33,66,,Rapid,,1,
1841,P. Gallese GK,33,73,73,"Orlando City
2020 ~ 2024",225701,"188cm / 6'2""",79kg / 174lbs,Right,73,GK,0,"Jan 17, 2020",N/A,€1M,€6K,€1.5M,110,21,20,18,31,20,114,19,12,17,44,22,261,45,49,34,76,57,196,48,57,30,49,12,146,22,25,18,59,22,53,61,23,19,19,354,72,72,64,72,74,1242,401,3,1,Medium,Medium,1,Normal (185+),No,72,72,64,74,47,72,,Footwork,,1,
1842,S. McKenna CB,26,73,76,"Nottingham Forest
2020 ~ 2024",225974,"189cm / 6'2""",80kg / 176lbs,Left,75,CB,3,"Sep 23, 2020",N/A,€3.5M,€41K,€6.9M,221,41,22,74,58,26,219,45,28,31,57,58,269,51,51,42,69,56,322,59,80,65,86,32,239,86,70,16,31,36,60,214,73,73,68,44,11,7,11,6,9,1528,332,3,2,Medium,High,1,Normal (185+),Yes,51,32,46,51,72,80,,Long Ball Pass Aerial,,2,
1843,U. Çakır GK,27,78,80,"Trabzonspor
2014 ~ 2027",226300,"191cm / 6'3""",82kg / 181lbs,Right,78,GK,2,"Aug 26, 2014",N/A,€13M,€38K,€27M,94,15,13,14,32,20,103,14,18,20,27,24,291,53,56,49,75,58,251,56,69,40,67,19,156,34,25,14,60,23,60,51,17,18,16,386,79,76,74,81,76,1332,440,3,1,Medium,Medium,1,Normal (185+),No,79,76,74,76,54,81,,Far Throw Cross Claimer,,2,
1844,André Horta CM CDM,26,77,78,"Sporting Braga
2019 ~ 2027",226370,"175cm / 5'9""",62kg / 137lbs,Right,78,CM,1,"Jul 1, 2019",N/A,€12.5M,€16K,€25.9M,339,72,68,51,81,67,357,77,68,58,77,77,391,73,73,86,78,81,370,75,74,83,65,73,341,68,68,72,76,57,76,202,69,69,64,54,6,15,15,10,8,2054,435,3,3,High,Medium,1,Lean (170-185),No,73,70,76,78,67,71,,Dead Ball Technical,,2,
1845,Álex Remiro GK,28,84,86,"Real Sociedad
2019 ~ 2027",227127,"192cm / 6'4""",79kg / 174lbs,Right,84,GK,2,"Jul 1, 2019",N/A,€36M,€43K,€78.3M,89,12,13,13,36,15,105,19,14,17,29,26,274,40,46,69,79,40,254,60,68,42,73,11,124,34,20,11,35,24,55,49,14,17,18,414,84,78,80,86,86,1309,456,4,1,Medium,Medium,2,Lean (185+),Yes,84,78,80,86,42,86,,Far Throw,,1,
1846,Pedraza LB,27,78,79,"Villarreal
2014 ~ 2026",228302,"184cm / 6'0""",73kg / 161lbs,Left,78,LB,1,"Jul 1, 2014",N/A,€15M,€31K,€32.6M,352,76,72,67,74,63,352,77,74,57,68,76,378,78,81,76,75,68,382,78,80,81,74,69,351,69,72,77,69,64,66,226,74,77,75,51,12,6,14,7,12,2092,449,2,3,High,Medium,1,Lean (170-185),Yes,80,72,72,76,74,75,,Block Anticipate Rapid,,3,
1847,H. Choudhury CDM RB,25,72,74,"Leicester City
2015 ~ 2027",228332,"178cm / 5'10""",64kg / 141lbs,Right,74,CB,2,"Mar 31, 2015",N/A,€2.6M,€26K,€4.9M,293,61,45,64,74,49,310,64,58,54,66,68,339,65,65,74,64,71,323,68,71,69,70,45,322,88,74,56,59,45,69,222,73,73,76,52,9,14,8,10,11,1861,393,3,2,Medium,High,1,Lean (170-185),Yes,65,50,65,67,73,73,,Slide Tackle,,1,
1848,R. Nyambe RB RWB CB,25,68,71,"Derby County
2023 ~ 2024",228684,"178cm / 5'10""",70kg / 154lbs,Right,68,RB,3,"Sep 19, 2023",N/A,€1.5M,€6K,€2.7M,247,62,32,62,61,30,271,65,47,38,58,63,362,78,78,73,63,70,300,34,80,73,75,38,259,61,63,51,48,36,57,192,64,65,63,59,8,16,14,11,10,1690,370,3,3,High,High,1,Normal (170-185),No,78,35,56,65,64,72,,,,0,
1849,W. Faríñez GK,25,70,75,"Lens
2021 ~ 2024",228736,"180cm / 5'11""",77kg / 170lbs,Right,70,GK,5,"Jul 8, 2021",N/A,€1.9M,€13K,€3.8M,94,18,19,17,25,15,108,14,22,18,29,25,306,51,54,69,67,65,219,48,59,41,51,20,144,23,17,15,66,23,45,62,25,16,21,344,70,68,64,69,73,1277,396,3,1,Medium,Medium,1,Normal (170-185),No,70,68,64,73,52,69,,,,0,
1850,M. Vargas RW LW LM,26,72,72,"Shanghai Port
2022 ~ 2024",228819,"168cm / 5'6""",66kg / 146lbs,Right,72,RW,0,"Aug 24, 2022",N/A,€2.6M,€18K,€4.2M,310,68,66,45,70,61,356,76,74,73,65,68,406,81,85,86,68,86,360,73,69,83,68,67,313,64,40,71,70,68,75,112,41,39,32,54,10,13,14,10,7,1911,406,2,4,High,Medium,1,Stocky (170-),No,83,68,69,75,40,71,,Finesse Shot Technical,,2,
1851,D. Calabria RB RWB,26,80,81,"Milan
2015 ~ 2025",228881,"177cm / 5'10""",70kg / 154lbs,Right,80,RB,1,"Jul 1, 2015",N/A,€22.5M,€63K,€39.9M,322,76,48,64,74,60,340,73,73,48,69,77,399,80,79,81,78,81,361,68,75,82,65,71,323,80,80,51,64,48,78,242,81,81,80,56,8,14,15,12,7,2043,434,3,3,High,High,2,Normal (170-185),Yes,79,57,70,76,79,73,,,,0,
1852,B. van den Boomen CM CDM,27,78,78,"Ajax
2023 ~ 2027",229158,"185cm / 6'1""",75kg / 165lbs,Right,78,CM,0,"Jul 1, 2023",N/A,€15M,€18K,€21M,374,86,73,61,82,72,399,73,81,80,86,79,288,58,50,62,79,39,370,79,69,73,72,77,374,77,59,76,81,81,78,209,72,70,67,48,6,13,8,8,13,2062,426,4,3,High,Medium,2,Normal (185+),No,54,76,83,73,67,73,,Dead Ball Long Ball Pass Whipped Cross Press Proven,,4,
1853,Jorge Miramón RB RWB RM,34,72,72,"Leganés
2022 ~ 2024",229359,"175cm / 5'9""",74kg / 163lbs,Right,72,RB,0,"Jul 19, 2022",N/A,€850K,€9K,€1.4M,324,74,58,65,73,54,335,63,68,59,71,74,353,70,71,70,69,73,337,61,75,76,72,53,338,69,68,65,73,63,66,200,66,68,66,63,11,10,15,14,13,1950,409,3,3,High,Medium,1,Normal (170-185),Yes,71,58,72,68,67,73,,Whipped Cross,,1,
1854,S. Gartenmann CB,26,70,73,"Aberdeen
Jun 30, 2024 On loan",229436,"185cm / 6'1""",75kg / 165lbs,Right,72,CB,3,"Jul 1, 2022","Jun 30, 2024",€1.8M,€14K,€0,240,60,22,70,61,27,257,54,51,28,58,66,314,55,68,56,70,65,320,54,76,76,82,32,281,67,69,51,57,37,68,208,71,70,67,57,12,8,9,14,14,1677,359,3,2,Medium,High,1,Normal (185+),No,62,33,57,60,70,77,,Long Ball Pass Block Slide Tackle Long Throw,,4,
1855,G. Mancini CB,27,83,85,"Roma
2020 ~ 2027",229582,"190cm / 6'3""",77kg / 170lbs,Right,85,CB,2,"Jul 1, 2020",N/A,€38.5M,€80K,€68.3M,272,34,48,83,67,40,271,55,38,34,68,76,306,59,73,34,83,57,339,51,84,87,83,34,308,94,84,32,51,47,80,247,84,84,79,47,13,12,8,6,8,1790,397,3,2,Medium,High,2,Normal (185+),Yes,67,45,54,62,83,86,,Power Header Slide Tackle Bruiser,,3,
1856,M. Jensen CM,27,76,76,"Brentford
2019 ~ 2026",229723,"180cm / 5'11""",68kg / 150lbs,Right,76,CM,0,"Jul 10, 2019",N/A,€8M,€49K,€15.2M,321,79,64,50,78,50,368,73,72,68,80,75,357,62,65,77,76,77,345,63,64,80,70,68,368,73,75,70,81,69,80,204,73,69,62,48,5,13,10,8,12,2011,423,4,3,Medium,High,1,Lean (170-185),No,64,64,78,75,69,73,,Long Ball Pass Long Throw,,2,
1857,J. Ryerson LB RB,25,78,80,"Borussia Dortmund
2023 ~ 2026",229891,"183cm / 6'0""",82kg / 181lbs,Right,79,RWB,2,"Jan 17, 2023",N/A,€16M,€39K,€28.4M,321,76,57,57,76,55,313,77,59,34,67,76,378,76,73,76,76,77,368,70,78,83,78,59,323,82,73,62,62,44,68,232,79,73,80,42,7,13,8,7,7,1977,433,4,2,Medium,High,2,Normal (170-185),No,74,60,69,76,74,80,,Jockey Relentless,,2,
1858,L. Nmecha ST,24,77,82,"VfL Wolfsburg
2021 ~ 2025",230084,"185cm / 6'1""",80kg / 176lbs,Right,79,ST,5,"Jul 16, 2021",N/A,€16M,€41K,€28.4M,357,58,78,74,76,71,325,77,61,48,59,80,376,78,78,73,75,72,391,79,87,74,80,71,333,71,37,76,68,81,71,103,43,33,27,45,9,11,11,8,6,1930,415,4,3,Medium,Low,2,Normal (185+),Yes,78,77,66,77,40,77,,Technical Flair Trivela,,3,
1859,Rosival Dourado CDM CM CAM,23,81,81,"Corinthians
2023 ~ 2026",230258,"175cm / 5'9""",70kg / 154lbs,Right,81,CDM,0,"Jun 26, 2023",N/A,€26.5M,€31K,€50.4M,323,61,53,70,82,57,342,77,54,57,78,76,382,75,78,72,80,77,338,60,72,91,56,59,369,75,82,58,77,77,81,249,83,86,80,62,15,14,14,10,9,2065,436,4,2,High,Medium,1,Lean (170-185),No,77,57,74,77,82,69,,Finesse Shot Long Ball Pass Technical,,3,
1860,Jiang Guangtai CB,29,72,72,"Shanghai Port
2022 ~ 2024",200741,"188cm / 6'2""",76kg / 168lbs,Right,72,CB,0,"Aug 22, 2022",N/A,€2M,€16K,€3.2M,246,53,25,74,61,33,219,52,29,17,52,69,378,80,83,74,68,73,334,48,90,80,81,35,255,71,73,41,27,43,61,209,70,68,71,51,10,13,7,9,12,1692,375,2,3,Medium,Medium,1,Normal (185+),Yes,82,34,47,62,71,79,,Block Slide Tackle Aerial,,3,
1861,J. Lundstram CM CDM CB,29,74,74,"Rangers
2021 ~ 2024",200746,"181cm / 5'11""",74kg / 163lbs,Right,74,CM,0,"Jul 5, 2021",N/A,€4.1M,€45K,€7.4M,329,66,62,60,77,64,346,68,71,54,79,74,328,64,60,64,69,71,388,80,72,83,74,79,341,80,70,68,71,52,73,212,71,73,68,43,14,6,6,9,8,1987,420,5,2,Medium,Medium,1,Normal (170-185),Yes,62,69,72,70,70,77,,Power Shot Long Ball Pass,,2,
1862,J. Clarke-Harris ST,28,70,70,"Peterborough United
2020 ~ 2024",200779,"183cm / 6'0""",78kg / 172lbs,Left,70,ST,0,"Aug 27, 2020",N/A,€1.6M,€9K,€2.8M,314,45,72,70,61,66,299,66,58,64,43,68,346,68,73,71,67,67,379,76,81,72,83,67,309,77,30,71,58,73,72,57,27,17,13,48,14,7,10,6,11,1752,373,4,3,Medium,Low,1,Stocky (170-185),No,71,72,55,68,28,79,,Power Shot Power Header Flair Press Proven,,4,
1863,Danilo Pereira CB CDM,31,81,81,"Paris Saint Germain
2020 ~ 2025",200888,"188cm / 6'2""",83kg / 183lbs,Right,81,CB,0,"Oct 5, 2020",N/A,€17.5M,€81K,€32.4M,331,56,57,83,80,55,330,71,54,53,77,75,280,40,59,52,82,47,396,75,81,84,89,67,359,81,81,70,70,57,77,232,82,81,69,58,9,7,13,14,15,1986,419,3,3,Medium,High,3,Normal (185+),Yes,50,63,70,70,80,86,,Power Header Incisive Pass Intercept Aerial,,4,
1864,23 Rafinha CM CAM,29,78,78,"Paris Saint Germain
2020 ~ 2023",201400,"174cm / 5'9""",71kg / 157lbs,Left,79,CAM,0,"Oct 5, 2020",N/A,€13.5M,€74K,€25M,354,74,68-2,55,82,75,390,85-1,80,61,80+1,84,373,72-2,61-4,83,76,81+1,346,80,74,53-4,63-2,76,364,70,68,77,82,67,82,213,70+2,74+3,69+4,52,11,6,15,13,7,2092,433,4,4,High,Medium,2,Normal (170-185),Yes,66,73,79,84,69,62,,,,6,
1865,A. Gomis GK,29,71,72,"Lorient
Jun 30, 2024 On loan",201976,"196cm / 6'5""",80kg / 176lbs,Right,71,GK,1,"Sep 29, 2020","Jun 30, 2024",€1.4M,€20K,€0,87,15,16,11,34,11,104,15,12,12,41,24,268,43,41,60,70,54,227,52,62,33,65,15,134,16,21,16,58,23,57,42,18,14,10,351,71,70,69,69,72,1213,393,3,1,Medium,Medium,1,Normal (185+),No,71,70,69,72,42,69,,,,0,
1866,D. Nagbe CM CDM,32,74,74,"Columbus Crew
2019 ~ 2023",202078,"175cm / 5'9""",77kg / 170lbs,Right,74,CM,0,"Nov 13, 2019",N/A,€3.3M,€8K,€4.8M,332,49,63,57,84,79,370,76,72,68,75,79,386,72,73,85,77,79,372,74,73,85,73,67,312,59,63,60,69,61,83,190,66,63,61,46,6,8,12,7,13,2008,425,2,3,Medium,High,1,Normal (170-185),Yes,73,67,71,78,63,73,,Technical,,1,
1867,S. Armstrong CM RM,31,73,73,"Southampton
2018 ~ 2024",202282,"183cm / 6'0""",75kg / 165lbs,Right,74,CAM,0,"Jun 26, 2018",N/A,€2.5M,€34K,€4.8M,347,72,73,66,74,62,372,75,78,74,71,74,340,66,65,70,77,62,348,75,67,68,59,79,350,69,69,76,72,64,70,191,63,68,60,59,14,8,13,11,13,2007,415,4,3,High,High,1,Normal (170-185),Yes,65,74,73,73,66,64,,,,0,
1868,Igor Coronado CAM CM LM,30,78,78,"Al Ittihad
2021 ~ 2025",202599,"170cm / 5'7""",68kg / 150lbs,Right,78,CAM,0,"Jul 7, 2021",N/A,€13.5M,€42K,€21.6M,347,78,74,52,74,69,398,81,78,77,78,84,413,91,72,91,71,88,361,73,71,83,57,77,339,53,59,70,81,76,76,165,55,62,48,48,12,7,12,10,7,2071,435,4,5,Medium,Low,2,Lean (170-),No,81,74,77,83,57,63,,Finesse Shot Dead Ball Pinged Pass Long Ball Pass Technical Flair First Touch,,7,
1869,J. Tarkowski CB,30,79,79,"Everton
2022 ~ 2026",202695,"188cm / 6'2""",81kg / 179lbs,Right,79,CB,0,"Jul 2, 2022",N/A,€14.5M,€43K,€27.6M,287,59,40,82,66,40,299,55,54,53,73,64,294,49,59,55,78,53,335,63,82,68,84,38,317,82,78,43,62,52,76,245,81,83,81,50,14,8,12,9,7,1827,385,4,2,Medium,High,1,Stocky (185+),Yes,55,45,64,60,81,80,,Power Header Long Ball Pass Aerial,,3,
1870,M. Elyounoussi LW RW CM,28,72,72,"København
2023 ~ 2027",203362,"178cm / 5'10""",70kg / 154lbs,Right,73,RM,0,"Jul 27, 2023",N/A,€2.4M,€19K,€3.1M,345,69,73,65,71,67,347,76,70,62,64,75,366,70,74,74,72,76,355,71,71,83,65,65,333,74,52,71,72,64,69,183,60,65,58,47,12,7,8,7,13,1976,418,4,4,High,High,1,Normal (170-185),Yes,72,70,69,75,60,72,,Technical Flair,,2,
1871,D. Klaassen CM CAM,30,76,76,"Inter
2023 ~ 2024",203483,"179cm / 5'10""",70kg / 154lbs,Right,76,CM,0,"Sep 1, 2023",N/A,€7M,€61K,€11.9M,374,67,79,74,75,79,337,69,61,53,75,79,331,69,54,65,75,68,390,78,80,83,74,75,381,77,70,82,77,75,79,208,70,73,65,57,12,6,13,16,10,2078,431,3,3,High,Medium,2,Normal (170-185),Yes,61,78,72,72,71,77,,Slide Tackle,,1,
1872,A. Florenzi RB RM,32,75,75,"Milan
2022 ~ 2025",203551,"173cm / 5'8""",67kg / 148lbs,Right,77,RB,0,"Jul 1, 2022",N/A,€3.9M,€45K,€6.6M,378,75,71,68,80,84,374,75,71,71,76,81,390,76,71,86,75,82,341,82,67,63,48,81,364,66,76,69,80,73,79,218,75,74,69,48,9,8,10,11,10,2113,435,4,3,High,Medium,3,Unique,Yes,73,76,78,78,74,56,,,,0,
1873,M. Batshuayi ST,29,76-1,76-1,"Fenerbahçe
2022 ~ 2024",204529,"185cm / 6'1""",80kg / 176lbs,Right,76,ST,0,"Sep 3, 2022",N/A,€7.5M,€35K,€14.3M,354,65,76,70-4,66,77,320,75,67,60,42,76-1,373,75-2,78,76,73-1,71,400,86,84-4,75,84,71,315,70,29,80,64,72,77,90,37,31,22,57,9,10,16,7,15,1909,405,5,3,Medium,Medium,2,Normal (185+),Yes,77,77,62,75,35,79,,,,0,
1874,Y. Yotún CM CDM LM,33,73,73,"Sporting Cristal
2022 ~ 2026",204542,"172cm / 5'8""",69kg / 152lbs,Left,73,CM,0,"Mar 9, 2022",N/A,€1.9M,€1K,€4.2M,332,75,65,53,75,64,364,68,70,75,78,73,360,64,62,85,69,80,355,76,67,72,72,68,370,81,69,68,77,75,75,206,72,66,68,49,7,8,16,11,7,2036,420,1,3,Medium,High,1,Normal (170-185),Yes,63,68,76,72,67,74,,Power Shot Tiki Taka First Touch Press Proven Long Throw,,5,
1875,R. Jiménez ST,32,75,75,"Fulham
2023 ~ 2025",204838,"188cm / 6'2""",81kg / 179lbs,Right,75,ST,0,"Jul 25, 2023",N/A,€4.6M,€69K,€8.7M,373,73,74,74,78,74,351,75,75,51,75,75,336,65,67,66,74,64,389,84,83,69,82,71,373,79,52,75,75,92,78,111,43,38,30,55,7,11,13,14,10,1988,413,3,3,Medium,Medium,3,Normal (185+),Yes,66,76,74,74,45,78,,Flair Trivela,,2,
1876,F. Thauvin CF ST RM,30,73,73,"Udinese
2023 ~ 2025",204970,"181cm / 5'11""",77kg / 170lbs,Left,73,CF,0,"Jan 31, 2023",N/A,€3M,€16K,€5.4M,354,72,68,68,71,75,374,77,84,69,67,77,364,74,65,84,69,72,377,82,76,70,69,80,326,56,48,71,73,78,80,121,43,40,38,52,8,11,14,10,9,1968,404,3,4,Medium,Medium,1,Normal (170-185),Yes,69,74,72,77,45,67,,Finesse Shot Technical,,2,
1877,P. Gazzaniga GK,31,79,79,"Girona
2023 ~ 2025",205186,"196cm / 6'5""",90kg / 198lbs,Right,79,GK,0,"Jul 1, 2023",N/A,€9.5M,€23K,€20M,111,23,12,14,49,13,157,20,31,21,54,31,316,57,56,65,78,60,241,59,66,42,55,19,178,40,19,15,64,40,61,58,23,21,14,390,77,79,79,77,78,1451,447,3,1,Medium,Medium,1,Lean (185+),Yes,77,79,79,78,57,77,,,,0,
1878,R. Fredericks RB,30,73,73,"AFC Bournemouth
2022 ~ 2024",205346,"181cm / 5'11""",74kg / 163lbs,Right,73,RB,0,"Jul 1, 2022",N/A,€2.6M,€33K,€4.9M,288,70,44,55,69,50,305,71,64,41,60,69,391,88,92,67,71,73,306,58,76,62,65,45,325,73,68,63,60,61,64,209,70,68,71,55,16,7,8,15,9,1879,407,3,3,High,Medium,1,Normal (170-185),Yes,90,49,64,70,68,66,,Rapid,,1,
1879,Bernard LW CAM RW,30,75,75,"Panathinaikos
2022 ~ 2024",205525,"164cm / 5'5""",60kg / 132lbs,Right,75,LW,0,"Aug 23, 2022",N/A,€5.5M,€1K,€12.1M,336,72,64,59,73,68,375,81,77,73,66,78,414,85,73,90,74,92,285,76,59,54,30,66,288,41,42,72,72,61,72,98,31,42,25,52,6,11,13,10,12,1848,377,4,4,High,Low,2,Lean (170-),Yes,78,67,72,81,39,40,,Rapid Flair,,2,
1880,S. Umtiti CB,29,78,78,"LOSC Lille
2023 ~ 2025",205600,"182cm / 6'0""",75kg / 165lbs,Left,78,CB,0,"Jul 22, 2023",N/A,€12M,€33K,€22.8M,329,61,51,76,76,65,335,61,72,62,73,67,322,59,65,58,76,64,372,83,82,55,82,70,325,77,80,51,58,59,74,236,81,79,76,66,15,10,14,12,15,1985,409,3,2,Low,Medium,3,Unique,Yes,62,62,68,64,79,74,,Jockey Bruiser,,2,
1881,C. Chambers CB RB CDM,28,74,74,"Aston Villa
2022 ~ 2025",205989,"182cm / 6'0""",77kg / 170lbs,Right,74,CB,0,"Jan 27, 2022",N/A,€3.6M,€56K,€6.8M,316,70,54,70,75,47,321,66,60,49,72,74,323,61,62,60,74,66,321,60,74,54,75,58,327,77,74,57,65,54,67,225,75,76,74,56,11,14,12,7,12,1889,401,3,2,Medium,Medium,2,Normal (170-185),Yes,62,56,70,68,75,70,,,,0,
1882,H. Reed CDM CM,28,76,77,"Fulham
2020 ~ 2027",205990,"175cm / 5'9""",72kg / 159lbs,Right,76,CDM,1,"Aug 31, 2020",N/A,€7M,€63K,€13.8M,297,73,59,51,74,40,339,69,65,61,72,72,366,75,62,74,75,80,350,67,69,82,69,63,346,82,77,67,71,49,72,221,74,75,72,54,7,12,14,10,11,1973,418,3,3,Medium,High,1,Normal (170-185),Yes,68,60,72,71,72,75,,Slide Tackle,,1,
1883,H. Toffolo LB LWB,27,73,73,"Nottingham Forest
2022 ~ 2025",206086,"183cm / 6'0""",71kg / 157lbs,Left,73,LB,0,"Jul 20, 2022",N/A,€2.9M,€41K,€5.5M,301,75,53,61,68,44,327,66,71,58,67,65,354,73,74,69,69,69,332,58,73,81,69,51,297,61,67,57,59,53,65,211,72,68,71,68,12,15,15,13,13,1890,400,2,3,High,Medium,1,Lean (170-185),Yes,74,53,67,66,69,71,,,,0,
1884,M. Arnold CDM CM,29,81,81,"VfL Wolfsburg
2011 ~ 2026",206511,"184cm / 6'0""",74kg / 163lbs,Left,81,CDM,0,"Oct 10, 2011",N/A,€22M,€55K,€37.4M,368,69,75,58,82,84,411,78,84,83,84,82,347,63,69,69,82,64,401,88,70,81,75,87,365,77,80,76,78,54,79,231,78,79,74,51,11,9,11,10,10,2174,455,2,3,High,Medium,2,Normal (170-185),Yes,66,79,79,78,76,77,,Power Shot Dead Ball Long Ball Pass Trivela,,4,
1885,C. Robinson ST CAM,28,70,70,"Cardiff City
2022 ~ 2025",206518,"178cm / 5'10""",75kg / 165lbs,Right,72,RW,0,"Sep 1, 2022",N/A,€1.6M,€12K,€3M,330,69,70,63,66,62,312,74,57,55,52,74,373,77,80,79,69,68,354,74,75,70,66,69,274,46,25,70,72,61,68,84,42,21,21,60,14,7,10,14,15,1787,383,3,3,Medium,Medium,1,Normal (170-185),Yes,79,70,65,74,32,63,,,,0,
1886,William Carvalho CDM CAM,31,81,81,"Real Betis
2018 ~ 2026",207566,"187cm / 6'2""",79kg / 174lbs,Right,81,CDM,0,"Jul 13, 2018",N/A,€18M,€30K,€37.8M,336,66,66,70,84,50,377,82,82,50,82,81,252,46,44,45,75,42,390,75,75,81,90,69,372,76,80,73,83,60,86,222,78,74,70,45,6,6,5,14,14,1994,427,4,3,High,Medium,2,Normal (185+),Yes,45,68,78,76,76,84,,Long Ball Pass Tiki Taka Flair Press Proven,,4,
1887,Y. Poulsen ST,29,77,77,"RB Leipzig
2013 ~ 2026",207791,"192cm / 6'4""",84kg / 185lbs,Right,77,ST,0,"Jul 4, 2013",N/A,€10.5M,€53K,€17.9M,379,68,76,86,74,75,318,76,70,42,53,77,349,77,71,68,79,54,384,73,93,80,80,58,344,81,54,79,72,58,73,146,53,59,34,54,6,11,15,14,8,1974,423,3,3,Medium,High,2,Normal (185+),Yes,74,71,67,74,56,81,,,,0,
1888,B. Cristante CDM CM CB,28,81,82,"Roma
2019 ~ 2027",208268,"186cm / 6'1""",80kg / 176lbs,Right,81,CDM,1,"Feb 28, 2019",N/A,€25M,€71K,€44.4M,366,70,68,76,82,70,372,76,68,62,86,80,302,56,51,62,79,54,412,83,81,89,82,77,362,75,74,76,79,58,82,234,83,79,72,19,3,5,3,3,5,2067,439,4,3,Medium,High,2,Normal (185+),Yes,53,73,78,75,78,82,,Long Ball Pass Relentless,,2,
1889,Clinton Mata RB CB,30,76-1,76-1,"Olympique Lyonnais
2023 ~ 2026",208364,"180cm / 5'11""",73kg / 161lbs,Right,76,RB,0,"Jul 6, 2023",N/A,€6.5M,€30K,€12.4M,304,62,53,71,72,46,356,72,71,70,71,72,379,75-1,81,78,74-2,71,386,78,82,86,73,67,327,76-4,74-2,67,61-3,49,73-4,224,76,74-2,74-1,47,10,10,7,10,10,2023,431,3,3,High,High,1,Normal (170-185),No,78,61,68,73,74,77,,Long Ball Pass Block,,2,
1890,R. Quaison CF ST LM,29,70,70,"Al Ettifaq
2021 ~ 2024",208451,"183cm / 6'0""",78kg / 172lbs,Right,70,CF,0,"Jul 8, 2021",N/A,€1.6M,€18K,€2.7M,324,63,69,54,68,70,332,71,70,56,62,73,366,75,69,75,72,75,360,72,73,74,74,67,313,56,49,73,65,70,74,128,39,39,50,52,9,8,13,9,13,1875,393,3,3,Medium,Medium,1,Normal (170-185),Yes,72,70,65,72,44,70,,Technical,,1,
1891,H. Ziyech RM CAM,30,80,80,"Galatasaray
Jun 30, 2024 On loan",208670,"181cm / 5'11""",65kg / 143lbs,Left,80,RM,0,"Jul 1, 2020","Jun 30, 2024",€20.5M,€110K,€0,364,84,72,52,82,74,411,80,88,78,84,81,380,74,70,82,76,78,333,81,55,67,51,79,351,73,51,76,84,67,79,142,44,57,41,51,11,7,11,8,14,2032,420,2,5,High,Medium,3,Unique,Yes,72,75,83,80,50,60,,Technical Flair First Touch Trivela,,4,
